OTA,Iteration,Time,Result,Solver
TSM_v2,25,0.04182314872741699,unsafe,Theano_SC
TSM_v2,25,0.011207818984985352,unsafe,z3
TSM_v2,25,0.005427122116088867,unsafe,cvc5
TSM_v2,26,0.04240012168884277,unsafe,Theano_DC
TSM_v2,26,0.04154491424560547,unsafe,Theano_SC
TSM_v2,26,0.010989904403686523,unsafe,z3
TSM_v2,26,0.0053479671478271484,unsafe,cvc5
TSM_v2,27,0.042114973068237305,unsafe,Theano_DC
TSM_v2,27,0.04225301742553711,unsafe,Theano_SC
TSM_v2,27,0.011059999465942383,unsafe,z3
TSM_v2,27,0.005302906036376953,unsafe,cvc5
TSM_v2,28,0.0423431396484375,unsafe,Theano_DC
TSM_v2,28,0.04451608657836914,unsafe,Theano_SC
TSM_v2,28,0.011181831359863281,unsafe,z3
TSM_v2,28,0.005249977111816406,unsafe,cvc5
TSM_v2,29,0.04227590560913086,unsafe,Theano_DC
TSM_v2,29,0.041676998138427734,unsafe,Theano_SC
TSM_v2,29,0.011287927627563477,unsafe,z3
TSM_v2,29,0.005321025848388672,unsafe,cvc5
TSM_v2,30,0.04228806495666504,unsafe,Theano_DC
TSM_v2,30,0.04207611083984375,unsafe,Theano_SC
TSM_v2,30,0.01101994514465332,unsafe,z3
TSM_v2,30,0.005509853363037109,unsafe,cvc5
TSM_v2,31,0.042244911193847656,unsafe,Theano_DC
TSM_v2,31,0.04112982749938965,unsafe,Theano_SC
TSM_v2,31,0.011037111282348633,unsafe,z3
TSM_v2,31,0.0053501129150390625,unsafe,cvc5
TSM_v2,32,0.04246091842651367,unsafe,Theano_DC
TSM_v2,32,0.042016029357910156,unsafe,Theano_SC
TSM_v2,32,0.010728120803833008,unsafe,z3
TSM_v2,32,0.0052950382232666016,unsafe,cvc5
TSM_v2,33,0.04138612747192383,unsafe,Theano_DC
TSM_v2,33,0.04153800010681152,unsafe,Theano_SC
TSM_v2,33,0.010965824127197266,unsafe,z3
TSM_v2,33,0.005353212356567383,unsafe,cvc5
TSM_v2,34,0.041996002197265625,unsafe,Theano_DC
TSM_v2,34,0.04164910316467285,unsafe,Theano_SC
TSM_v2,34,0.010827064514160156,unsafe,z3
TSM_v2,34,0.0052258968353271484,unsafe,cvc5
TSM_v2,35,0.04204297065734863,unsafe,Theano_DC
TSM_v2,35,0.04089093208312988,unsafe,Theano_SC
TSM_v2,35,0.01094508171081543,unsafe,z3
TSM_v2,35,0.005166053771972656,unsafe,cvc5
TSM_v2,36,0.04225015640258789,unsafe,Theano_DC
TSM_v2,36,0.04161381721496582,unsafe,Theano_SC
TSM_v2,36,0.011070966720581055,unsafe,z3
TSM_v2,36,0.0054759979248046875,unsafe,cvc5
TSM_v2,37,0.04215192794799805,unsafe,Theano_DC
TSM_v2,37,0.04139089584350586,unsafe,Theano_SC
TSM_v2,37,0.010950088500976562,unsafe,z3
TSM_v2,37,0.005360126495361328,unsafe,cvc5
TSM_v2,38,0.041810035705566406,unsafe,Theano_DC
TSM_v2,38,0.04142308235168457,unsafe,Theano_SC
TSM_v2,38,0.010818004608154297,unsafe,z3
TSM_v2,38,0.0051670074462890625,unsafe,cvc5
TSM_v2,39,0.04172992706298828,unsafe,Theano_DC
TSM_v2,39,0.04172492027282715,unsafe,Theano_SC
TSM_v2,39,0.010970115661621094,unsafe,z3
TSM_v2,39,0.00510406494140625,unsafe,cvc5
TSM_v2,40,0.04294991493225098,unsafe,Theano_DC
TSM_v2,40,0.04181385040283203,unsafe,Theano_SC
TSM_v2,40,0.010968923568725586,unsafe,z3
TSM_v2,40,0.0053021907806396484,unsafe,cvc5
